$ java -server -Xmx16G -jar target/sdm-assembly-0.1.1-SNAPSHOT.jar 8
8 cells in model.
255 total features available.
4 features needed for the 8 cell case.
21	2108184	135072	41971	9m
88	762355	48240	21345	3m
183	59640	3240	2712	2m
167	109736	10800	6331	4m
168	105995	5640	3094	19s
184	57155	4560	2912	52s
169	102340	9400	6240	115s
185	54740	4536	2695	2m
102	585276	57008	30541	11m
76	939929	62064	24813	5m
155	161700	18240	9431	6m
170	98770	9240	6173	2m
186	52394	4440	2632	2m
53	1353400	153120	69046	26m
28	1923825	129888	41563	9m
156	156849	17160	10332	2m
187	50116	2664	2268	2m
25	2001460	131616	41695	9m
22	2081156	135072	41971	9m
171	95284	9200	5560	3m
188	47905	4200	2446	119s
92	708561	76560	39687	15m
172	91881	8600	5774	104s
85	804440	88080	44566	17m
15	2275280	235200	90608	33m
189	45760	2520	2160	2m
157	152096	17088	8868	5m
89	748660	80400	41314	16m
173	88560	8560	5174	3m
26	1975354	131616	41695	9m
56	1293699	84960	32788	6m
77	924176	103440	49819	18m
45	1521520	176160	76264	28m
43	1565620	179040	76913	28m
86	790244	87312	44375	16m
90	735130	79632	41120	15m
54	1333300	151968	68801	25m
93	695520	76368	35850	28m
60	1216865	135840	62561	22m
29	1898400	216480	86657	31m
46	1499784	175008	76023	27m
23	2054360	225120	88553	32m
78	908600	102672	49631	18m
57	1274196	141600	64661	23m
27	1949476	219360	87302	31m
94	682640	75600	35547	26m
58	1254890	140448	64412	23m
30	1873200	215328	86420	30m
62	1179616	134400	53935	40m
55	1313400	151680	59751	43m
61	1198144	135552	54290	40m
47	1478256	174720	65075	47m
63	1161280	80640	40260	38m
59	1235780	140160	56086	42m
31	1848224	215040	71421	53m
Total featuresets considered: 172061505
Total fine featuresets: 10810800
Total paradigm sets: 2579431
Total elapsed compute time: 1867m
Total elapsed actual time: 192m
